organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,114.00,117.00,30.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Amblycercus holosericeus,Yellow-billed Cacique,YBIC,117.00,120.00,30.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,117.00,120.00,43.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Dendrocitta formosae,,,117.00,120.00,30.6,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Dendrocitta formosae,,,120.00,123.00,44.8,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,120.00,123.00,55.7,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,123.00,126.00,55.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,123.00,126.00,32.6,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,126.00,129.00,26.7,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Rupicola peruvianus,,,135.00,138.00,27.9,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,138.00,141.00,45.8,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,138.00,141.00,26.9,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,147.00,150.00,63.5,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Ptiloris victoriae,,,150.00,153.00,25.1,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,150.00,153.00,70.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,150.00,153.00,30.3,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,159.00,162.00,27.2,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,159.00,162.00,88.8,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Melozone cabanisi,Cabanis's Ground-Sparrow,CAGS,162.00,165.00,35.6,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,192.00,195.00,27.3,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,237.00,240.00,27.8,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,249.00,252.00,34.8,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,252.00,255.00,39.6,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,255.00,258.00,40.1,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,258.00,261.00,29.5,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,261.00,264.00,30.8,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,267.00,270.00,36.0,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,282.00,285.00,25.1,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,303.00,306.00,31.0,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,306.00,309.00,27.9,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,327.00,330.00,25.5,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus migratorius,American Robin,AMRO,327.00,330.00,28.3,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Turdus cardis,,,333.00,336.00,33.6,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,339.00,342.00,32.7,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,339.00,342.00,26.3,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,342.00,345.00,36.5,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,342.00,345.00,32.5,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,345.00,348.00,25.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,348.00,351.00,58.4,t,lite
