locatin,year,landCover_2016,landCover_2019
Crandell Lake_102,2014,220,220
Crandell Lake_102,2015,220,220
Crandell Lake_102,2016,220,220
Crandell Lake_102,2017,220,220
Crandell Lake_102,2018,220,220
Crandell Lake_102,2019,220,220
Crandell Lake_103,2009,50,50
Crandell Lake_103,2010,50,50
Crandell Lake_103,2011,50,50
Crandell Lake_103,2012,50,50
Crandell Lake_103,2013,50,50
Crandell Lake_103,2014,50,50
Crandell Lake_103,2015,50,50
Crandell Lake_103,2016,50,50
Crandell Lake_103,2017,50,50
Crandell Lake_103,2018,50,50
Crandell Lake_103,2019,50,50
Crandell Lake_104,2008,50,50
Crandell Lake_104,2009,50,50
Crandell Lake_104,2010,50,50
Crandell Lake_104,2011,50,50
Crandell Lake_104,2012,50,50
Crandell Lake_104,2013,50,50
Crandell Lake_104,2014,50,50
Crandell Lake_104,2015,50,50
Crandell Lake_104,2016,50,50
Crandell Lake_104,2017,50,50
Crandell Lake_104,2018,50,50
Crandell Lake_104,2019,50,50
Crandell Lake_105,2008,220,220
Crandell Lake_105,2009,220,220
Crandell Lake_105,2010,220,220
Crandell Lake_105,2011,220,220
Crandell Lake_105,2012,220,220
Crandell Lake_105,2013,220,220
Crandell Lake_105,2014,220,220
Crandell Lake_105,2015,220,220
Crandell Lake_105,2016,220,220
Crandell Lake_105,2017,220,220
Crandell Lake_105,2018,220,220
Crandell Lake_105,2019,220,220
Horseshoe Basin_41,2007,33,33
Horseshoe Basin_41,2008,33,33
Horseshoe Basin_41,2009,33,33
Horseshoe Basin_41,2010,33,33
Horseshoe Basin_41,2012,33,33
Horseshoe Basin_41,2013,33,33
Horseshoe Basin_41,2014,33,33
Horseshoe Basin_41,2015,33,33
Horseshoe Basin_41,2016,33,33
Horseshoe Basin_41,2017,33,33
Horseshoe Basin_41,2018,33,33
Horseshoe Basin_41,2019,33,33
Horseshoe Basin_42,2007,50,50
Horseshoe Basin_42,2008,50,50
Horseshoe Basin_42,2009,50,50
Horseshoe Basin_42,2010,50,50
Horseshoe Basin_42,2012,50,50
Horseshoe Basin_42,2013,50,50
Horseshoe Basin_42,2014,50,50
Horseshoe Basin_42,2015,50,50
Horseshoe Basin_42,2016,50,50
Horseshoe Basin_42,2017,50,50
Horseshoe Basin_42,2018,50,50
Horseshoe Basin_42,2019,50,50
Horseshoe Basin_43,2007,230,50
Horseshoe Basin_43,2009,230,50
Horseshoe Basin_43,2010,230,50
Horseshoe Basin_43,2012,230,50
Horseshoe Basin_43,2013,230,50
Horseshoe Basin_43,2014,230,50
Horseshoe Basin_43,2015,230,50
Horseshoe Basin_43,2016,230,50
Horseshoe Basin_43,2017,230,50
Horseshoe Basin_43,2018,230,50
Horseshoe Basin_43,2019,230,50
Horseshoe Basin_44,2007,100,100
Horseshoe Basin_44,2009,100,100
Horseshoe Basin_44,2010,100,100
Horseshoe Basin_44,2012,100,100
Horseshoe Basin_44,2013,100,100
Horseshoe Basin_44,2014,100,100
Horseshoe Basin_44,2015,100,100
Horseshoe Basin_44,2016,100,100
Horseshoe Basin_44,2017,100,100
Horseshoe Basin_44,2018,100,100
Horseshoe Basin_44,2019,100,100
Horseshoe Basin_45,2007,220,50
